id,feed_name,channel-category-type,channel-category-municipality,channel-category-province,channel-category-region,channel-category-latitude,channel-category-longitude,channel-category-country,channel-category-name,channel-category-uid,docs,webmaster,provider,options
c054031,Monteleone di Spoleto_feed.xml,Comune,Monteleone di Spoleto,Perugia,Umbria,42.6512172,12.9514791,Italia,Monteleone di Spoleto,istat:54031,http://albopop/comune/monteleonedispoleto,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054031
c044044,Montemonaco_feed.xml,Comune,Montemonaco,Ascoli Piceno,Marche,42.898756,13.330389,Italia,Montemonaco,istat:044044,http://albopop/comune/montemonaco,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044044
c054035,Norcia_feed.xml,Comune,Norcia,Perugia,Umbria,42.794045,13.09271,Italia,Norcia,istat:054035,http://albopop/comune/norcia,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054035
c067036,Rocca Santa Maria_feed.xml,Comune,Rocca Santa Maria,Teramo,Abruzzo,42.686001,13.528102,Italia,Rocca Santa Maria,istat:67036,http://albopop/comune/roccasantamaria,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067036
c044004,Amandola_feed.xml,Comune,Amandola,Fermo,Marche,42.979965,13.3560847,Italia,Amandola,istat:44004,http://albopop/comune/amandola,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044004
c057003,Antrodoco_feed.xml,Comune,Antrodoco,Rieti,Lazio,42.416134,13.078683,Italia,Antrodoco,istat:57003,http://albopop/comune/antrodoco,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057003
c044005,Appignano del Tronto_feed.xml,Comune,Appignano del Tronto,Ascoli Piceno,Marche,42.8986697,13.6663867,Italia,Appignano del Tronto,istat:44005,http://albopop/comune/appignanodeltronto,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044005
c044008,Belmonte Piceno_feed.xml,Comune,Belmonte Piceno,Fermo,Marche,43.0914761,13.5397163,Italia,Belmonte Piceno,istat:44008,http://albopop/comune/belmontepiceno,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044008
c043005,Bolognola_feed.xml,Comune,Bolognola,Macerata,Marche,42.994904,13.2263425,Italia,Bolognola,istat:43005,http://albopop/comune/bolognola,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043005
c057006,Borbona_feed.xml,Comune,Borbona,Rieti,Lazio,42.512536,13.135983,Italia,Borbona,istat:57006,http://albopop/comune/borbona,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057006
c057008,Borgo Velino_feed.xml,Comune,Borgo Velino,Rieti,Lazio,42.406033,13.059283,Italia,Borgo Velino,istat:57008,http://albopop/comune/borgovelino,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057008
c043006,Caldarola_feed.xml,Comune,Caldarola,Macerata,Marche,43.1385337,13.2248354,Italia,Caldarola,istat:43006,http://albopop/comune/caldarola,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043006
c043007,Camerino_feed.xml,Comune,Camerino,Macerata,Marche,43.1357641,13.0683092,Italia,Camerino,istat:43007,http://albopop/comune/camerino,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043007
c044069,Servigliano_feed.xml,Comune,Servigliano,Fermo,Marche,43.0816214,13.4937644,Italia,Servigliano,istat:44069,http://albopop/comune/servigliano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044069
c044011,Castel di Lama_feed.xml,Comune,Castel di Lama,Ascoli Piceno,Marche,42.8684128,13.7155336,Italia,Castel di Lama,istat:44011,http://albopop/comune/casteldilama,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044011
c067012,Castelli_feed.xml,Comune,Castelli,Teramo,Abruzzo,42.48794,13.711696,Italia,Castelli,istat:67012,http://albopop/comune/castelli,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067012
c043009,Castelraimondo_feed.xml,Comune,Castelraimondo,Macerata,Marche,43.208151,13.053671,Italia,Castelraimondo,istat:43009,http://albopop/comune/castelraimondo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043009
c043010,Castelsantangelo sul Nera_feed.xml,Comune,Castelsantangelo sul Nera,Macerata,Marche,42.8944925,13.1539297,Italia,Castelsantangelo sul Nera,istat:43010,http://albopop/comune/castelsantangelosulnera,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043010
c057015,Castel Sant'Angelo_feed.xml,Comune,Castel Sant'Angelo,Rieti,Lazio,42.3938693,13.0234552,Italia,Castel Sant'Angelo,istat:57015,http://albopop/comune/castelsantangelo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057015
c044012,Castignano_feed.xml,Comune,Castignano,Ascoli Piceno,Marche,42.93935,13.623987,Italia,Castignano,istat:44012,http://albopop/comune/castignano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044012
c044013,Castorano_feed.xml,Comune,Castorano,Ascoli Piceno,Marche,42.8980866,13.7280424,Italia,Castorano,istat:44013,http://albopop/comune/castorano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044013
c054010,Cerreto di Spoleto_feed.xml,Comune,Cerreto di Spoleto,Perugia,Umbria,42.8210425,12.9176291,Italia,Cerreto di Spoleto,istat:54010,http://albopop/comune/cerretodispoleto,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054010
c043012,Cingoli_feed.xml,Comune,Cingoli,Macerata,Marche,43.3738411,13.2163133,Italia,Cingoli,istat:43012,http://albopop/comune/cingoli,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043012
c067017,Civitella del Tronto_feed.xml,Comune,Civitella del Tronto,Teramo,Abruzzo,42.773446,13.672291,Italia,Civitella del Tronto,istat:67017,http://albopop/comune/civitelladeltronto,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067017
c044014,Colli del Tronto_feed.xml,Comune,Colli del Tronto,Ascoli Piceno,Marche,42.8769738,13.7483546,Italia,Colli del Tronto,istat:44014,http://albopop/comune/collideltronto,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044014
c043014,Colmurano_feed.xml,Comune,Colmurano,Macerata,Marche,43.1637729,13.3568952,Italia,Colmurano,istat:43014,http://albopop/comune/colmurano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043014
c044015,Comunanza_feed.xml,Comune,Comunanza,Ascoli Piceno,Marche,42.9568523,13.4128721,Italia,Comunanza,istat:44015,http://albopop/comune/comunanza,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044015
c043015,Corridonia_feed.xml,Comune,Corridonia,Macerata,Marche,43.2484575,13.509212,Italia,Corridonia,istat:43015,http://albopop/comune/corridonia,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043015
c067022,Cortino_feed.xml,Comune,Cortino,Teramo,Abruzzo,42.6223968,13.5088146,Italia,Cortino,istat:67022,http://albopop/comune/cortino,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067022
c044016,Cossignano_feed.xml,Comune,Cossignano,Ascoli Piceno,Marche,42.984251,13.689988,Italia,Cossignano,istat:44016,http://albopop/comune/cossignano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044016
c067023,Crognaleto_feed.xml,Comune,Crognaleto,Teramo,Abruzzo,42.587941,13.48959,Italia,Crognaleto,istat:67023,http://albopop/comune/crognaleto,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067023
c044018,Falerone_feed.xml,Comune,Falerone,Fermo,Marche,43.107052,13.471682,Italia,Falerone,istat:44018,http://albopop/comune/falerone,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044018
c044017,Fiastra_feed.xml,Comune,Fiastra,Macerata,Marche,43.0361407,13.1554547,Italia,Fiastra,istat:44017,http://albopop/comune/fiastra,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044017
c043040,Poggio San Vicino_feed.xml,Comune,Poggio San Vicino,Macerata,Marche,43.375155,13.079069,Italia,Poggio San Vicino,istat:43040,http://albopop/comune/poggiosanvicino,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043040
c043018,Fiordimonte_feed.xml,Comune,Fiordimonte,Macerata,Marche,43.037312,13.0891303,Italia,Fiordimonte,istat:43018,http://albopop/comune/fiordimonte,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043018
c043019,Fiuminata_feed.xml,Comune,Fiuminata,Macerata,Marche,43.18745,12.932168,Italia,Fiuminata,istat:43019,http://albopop/comune/fiuminata,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043019
c044020,Folignano_feed.xml,Comune,Folignano,Ascoli Piceno,Marche,42.820247,13.634289,Italia,Folignano,istat:44020,http://albopop/comune/folignano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044020
c044021,Force_feed.xml,Comune,Force,Ascoli Piceno,Marche,42.9632573,13.4909482,Italia,Force,istat:44021,http://albopop/comune/force,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044021
c043020,Gagliole_feed.xml,Comune,Gagliole,Macerata,Marche,43.2383009,13.0673041,Italia,Gagliole,istat:43020,http://albopop/comune/gagliole,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043020
c043021,Gualdo_feed.xml,Comune,Gualdo,Macerata,Marche,43.066828,13.3410165,Italia,Gualdo,istat:043021,http://albopop/comune/gualdo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043021
c043022,Loro Piceno_feed.xml,Comune,Loro Piceno,Macerata,Marche,43.1661204,13.4164033,Italia,Loro Piceno,istat:043022,http://albopop/comune/loropiceno,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043022
c109011,Massa Fermana_feed.xml,Comune,Massa Fermana,Fermo,Marche,43.1497719,13.4754066,Italia,Massa Fermana,istat:109011,http://albopop/comune/massafermana,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c109011
c043024,Matelica_feed.xml,Comune,Matelica,Macerata,Marche,43.2566101,13.00892,Italia,Matelica,istat:043024,http://albopop/comune/matelica,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043024
c057037,Micigliano_feed.xml,Comune,Micigliano,Rieti,Lazio,42.4513391,13.0547279,Italia,Micigliano,istat:057037,http://albopop/comune/micigliano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057037
c043025,Mogliano_feed.xml,Comune,Mogliano,Macerata,Marche,43.1864614,13.4809705,Italia,Mogliano,istat:043025,http://albopop/comune/mogliano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043025
c044030,Monsampietro Morico_feed.xml,Comune,Monsampietro Morico,Fermo,Marche,43.067752,13.555684,Italia,Monsampietro Morico,istat:044030,http://albopop/comune/monsampietromorico,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044030
c044032,Montalto delle Marche_feed.xml,Comune,Montalto delle Marche,Ascoli Piceno,Marche,42.989851,13.609186,Italia,Montalto delle Marche,istat:044032,http://albopop/comune/montaltodellemarche,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044032
c044033,Montappone_feed.xml,Comune,Montappone,Fermo,Marche,43.136453,13.468481,Italia,Montappone,istat:044033,http://albopop/comune/montappone,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044033
c043027,Monte Cavallo_feed.xml,Comune,Monte Cavallo,Macerata,Marche,42.9944324,13.0010217,Italia,Monte Cavallo,istat:043027,http://albopop/comune/montecavallo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043027
c044034,Montedinove_feed.xml,Comune,Montedinove,Ascoli Piceno,Marche,42.970733,13.5873048,Italia,Montedinove,istat:044034,http://albopop/comune/montedinove,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044034
c044035,Montefalcone Appennino_feed.xml,Comune,Montefalcone Appennino,Fermo,Marche,42.990049,13.456883,Italia,Montefalcone Appennino,istat:044035,http://albopop/comune/montefalconeappennino,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044035
c055019,Montefranco_feed.xml,Comune,Montefranco,TR,Umbria,42.5977353,12.7652595,Italia,Montefranco,istat:055019,http://albopop/comune/montefranco,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c055019
c109017,Montegiorgio_feed.xml,Comune,Montegiorgio,Fermo,Marche,43.132253,13.536383,Italia,Montegiorgio,istat:109017,http://albopop/comune/montegiorgio,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c109017
c044042,Monteleone di Fermo_feed.xml,Comune,Monteleone di Fermo,Fermo,Marche,43.0479035,13.528534,Italia,Monteleone di Fermo,istat:044042,http://albopop/comune/monteleonedifermo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044042
c044043,Montelparo_feed.xml,Comune,Montelparo,Fermo,Marche,43.017653,13.5368229,Italia,Montelparo,istat:044043,http://albopop/comune/montelparo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044043
c043041,Pollenza_feed.xml,Comune,Pollenza,Macerata,Marche,43.2667691,13.3472943,Italia,Pollenza,istat:043041,http://albopop/comune/pollenza,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043041
c043032,Monte San Martino_feed.xml,Comune,Monte San Martino,Macerata,Marche,43.03195,13.438682,Italia,Monte San Martino,istat:043032,http://albopop/comune/montesanmartino,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043032
c044051,Monte Vidon Corrado_feed.xml,Comune,Monte Vidon Corrado,Fermo,Marche,43.120653,13.487582,Italia,Monte Vidon Corrado,istat:044051,http://albopop/comune/montevidoncorrado,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044051
c043034,Muccia_feed.xml,Comune,Muccia,Macerata,Marche,43.0817007,13.0429675,Italia,Muccia,istat:043034,http://albopop/comune/muccia,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043034
c044055,Ortezzano_feed.xml,Comune,Ortezzano,Fermo,Marche,43.030052,13.605986,Italia,Ortezzano,istat:044055,http://albopop/comune/ortezzano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044055
c044056,Palmiano_feed.xml,Comune,Palmiano,Ascoli Piceno,Marche,42.8993528,13.4583597,Italia,Palmiano,istat:044056,http://albopop/comune/palmiano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044056
c043035,Penna San Giovanni_feed.xml,Comune,Penna San Giovanni,Macerata,Marche,43.0569146,13.4254525,Italia,Penna San Giovanni,istat:043035,http://albopop/comune/pennasangiovanni,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043035
c043036,Petriolo_feed.xml,Comune,Petriolo,Macerata,Marche,43.221693,13.4653351,Italia,Petriolo,istat:043036,http://albopop/comune/petriolo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043036
c043037,Pievebovigliana_feed.xml,Comune,Pievebovigliana,Macerata,Marche,43.0620542,13.083766,Italia,Pievebovigliana,istat:043037,http://albopop/comune/pievebovigliana,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043037
c043038,Pieve Torina_feed.xml,Comune,Pieve Torina,Macerata,Marche,43.0432872,13.0489107,Italia,Pieve Torina,istat:043038,http://albopop/comune/pievetorina,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043038
c057051,Poggio Bustone_feed.xml,Comune,Poggio Bustone,Rieti,Lazio,42.501834,12.888178,Italia,Poggio Bustone,istat:057051,http://albopop/comune/poggiobustone,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057051
c054042,Poggiodomo_feed.xml,Comune,Poggiodomo,Perugia,Umbria,42.711239,12.933876,Italia,Poggiodomo,istat:054042,http://albopop/comune/poggiodomo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054042
c057057,Posta_feed.xml,Comune,Posta,Rieti,Lazio,42.526336,13.098082,Italia,Posta,istat:057057,http://albopop/comune/posta,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c057057
c043045,Ripe San Ginesio_feed.xml,Comune,Ripe San Ginesio,Macerata,Marche,43.1428874,13.3672951,Italia,Ripe San Ginesio,istat:043045,http://albopop/comune/ripesanginesio,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043045
c044064,Roccafluvione_feed.xml,Comune,Roccafluvione,Ascoli Piceno,Marche,42.859947,13.476785,Italia,Roccafluvione,istat:044064,http://albopop/comune/roccafluvione,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044064
c044065,Rotella_feed.xml,Comune,Rotella,Ascoli Piceno,Marche,42.9541727,13.5593592,Italia,Rotella,istat:044065,http://albopop/comune/rotella,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044065
c043046,San Ginesio_feed.xml,Comune,San Ginesio,Macerata,Marche,43.1084806,13.3187335,Italia,San Ginesio,istat:043046,http://albopop/comune/sanginesio,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043046
c043047,San Severino Marche_feed.xml,Comune,San Severino Marche,Macerata,Marche,43.2290211,13.1779663,Italia,San Severino Marche,istat:043047,http://albopop/comune/sanseverinomarche,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043047
c054045,Sant'Anatolia di Narco_feed.xml,Comune,Sant'Anatolia di Narco,Perugia,Umbria,42.7337577,12.8355862,Italia,Sant'Anatolia di Narco,istat:054045,http://albopop/comune/santanatoliadinarco,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054045
c043048,Sant'Angelo in Pontano_feed.xml,Comune,Sant'Angelo in Pontano,Macerata,Marche,43.0986445,13.3967561,Italia,Sant'Angelo in Pontano,istat:043048,http://albopop/comune/santangeloinpontano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043048
c044067,Santa Vittoria in Matenano_feed.xml,Comune,Santa Vittoria in Matenano,Fermo,Marche,43.019379,13.4960348,Italia,Santa Vittoria in Matenano,istat:044067,http://albopop/comune/santavittoriainmatenano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044067
c054048,Sellano_feed.xml,Comune,Sellano,Perugia,Umbria,42.8884087,12.9263286,Italia,Sellano,istat:054048,http://albopop/comune/sellano,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054048
c043051,Serrapetrona_feed.xml,Comune,Serrapetrona,Macerata,Marche,43.1774304,13.1897524,Italia,Serrapetrona,istat:043051,http://albopop/comune/serrapetrona,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043051
c043052,Serravalle di Chienti_feed.xml,Comune,Serravalle di Chienti,Macerata,Marche,43.0716751,12.9523861,Italia,Serravalle di Chienti,istat:043052,http://albopop/comune/serravalledichienti,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043052
c109039,Smerillo_feed.xml,Comune,Smerillo,Fermo,Marche,43.00515,13.444982,Italia,Smerillo,istat:109039,http://albopop/comune/smerillo,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c109039
c067043,Torricella Sicura_feed.xml,Comune,Torricella Sicura,Teramo,Abruzzo,42.6575672,13.6555197,Italia,Torricella Sicura,istat:067043,http://albopop/comune/torricellasicura,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067043
c067045,Tossicia_feed.xml,Comune,Tossicia,Teramo,Abruzzo,42.544941,13.647494,Italia,Tossicia,istat:067045,http://albopop/comune/tossicia,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c067045
c043054,Treia_feed.xml,Comune,Treia,Macerata,Marche,43.311154,13.312081,Italia,Treia,istat:043054,http://albopop/comune/treia,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043054
c043055,Urbisaglia_feed.xml,Comune,Urbisaglia,Macerata,Marche,43.1970812,13.3768736,Italia,Urbisaglia,istat:043055,http://albopop/comune/urbisaglia,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043055
c043056,Ussita_feed.xml,Comune,Ussita,Macerata,Marche,42.9437596,13.137908,Italia,Ussita,istat:043056,http://albopop/comune/ussita,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043056
c054058,Vallo di Nera_feed.xml,Comune,Vallo di Nera,Perugia,Umbria,42.7546212,12.8637598,Italia,Vallo di Nera,istat:054058,http://albopop/comune/vallodinera,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c054058
c044073,Venarotta_feed.xml,Comune,Venarotta,Ascoli Piceno,Marche,42.882947,13.492285,Italia,Venarotta,istat:044073,http://albopop/comune/venarotta,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c044073
c043057,Visso_feed.xml,Comune,Visso,Macerata,Marche,42.9312321,13.087449,Italia,Visso,istat:043057,http://albopop/comune/visso,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c043057
c042013,Cerreto d'Esi_feed.xml,Comune,Cerreto d'Esi,Ancona,Marche,43.320288,12.985543,Italia,Cerreto d'Esi,istat:042013,http://albopop/comune/cerretodesi,alessio.cimarelli@ondata.it (Alessio Cimarelli),Halley,c042013
